Food Product,all ingridients
Chicken Caesar Wrap,"['Chicken', 'Caesar dressing', 'Romaine lettuce, Parmesan cheese']"
Greek Spanakopita,"['Spinach', 'Olive oil', 'Feta cheese, phyllo dough']"
Mushroom Soup,"['Mushrooms', 'Butter', 'Vegetable broth']"
Greek Yogurt,"['Yogurt (milk, cultures)', nan]"
Spinach Artichoke Dip,"['Spinach', 'Cream cheese, sour cream', 'Parmesan cheese, garlic']"
Chocolate Mousse,"['Chocolate', 'Heavy cream', 'Vanilla extract']"
Stuffed Portobello Mushrooms,"['Portobello mushrooms', 'Cheese, breadcrumbs']"
Caprese Salad,"['Tomatoes', 'Olive oil', 'Mozzarella cheese, basil']"
Tandoori Chicken,"['Chicken', 'Yogurt', 'Tandoori spices']"
Beef Stroganoff,"['Beef', 'Sour cream', 'Mushrooms, onions']"
Strawberry Smoothie,"['Strawberries', 'Yogurt', 'Milk']"
Baked Garlic Parmesan Chicken,"['Chicken', 'Butter', 'Parmesan cheese, garlic']"
Mushroom and Goat Cheese Flatbread,"['Mushrooms', 'Olive oil', 'Goat cheese, herbs']"
Margherita Pasta,"['Pasta', 'Olive oil', 'Mozzarella cheese, tomatoes, basil']"
Pumpkin Soup,"['Pumpkin', 'Butter', 'Nutmeg, cream']"
Butternut Squash Soup,"['Butternut squash', 'Butter', 'Nutmeg, cream']"
Caprese Skewers,"['Tomatoes', 'Olive oil', 'Mozzarella cheese, basil']"
Chicken Piccata,"['Chicken', 'Butter', 'Lemon, capers']"
Berry Parfait,"['Berries', 'Yogurt', 'Granola']"
Stuffed Mushrooms,"['Mushrooms', 'Cheese, breadcrumbs']"
Spinach Artichoke Dip,"['Spinach', 'Cream cheese, sour cream', 'Parmesan cheese, garlic']"
Chocolate Mousse,"['Chocolate', 'Heavy cream', 'Vanilla extract']"
Stuffed Portobello Mushrooms,"['Portobello mushrooms', 'Cheese, breadcrumbs']"
Caprese Salad,"['Tomatoes', 'Olive oil', 'Mozzarella cheese, basil']"
Tandoori Chicken,"['Chicken', 'Yogurt', 'Tandoori spices']"
Beef Stroganoff,"['Beef', 'Sour cream', 'Mushrooms, onions']"
Strawberry Smoothie,"['Strawberries', 'Yogurt', 'Milk']"
Baked Garlic Parmesan Chicken,"['Chicken', 'Butter', 'Parmesan cheese, garlic']"
Butter Chicken,"['Chicken', 'Butter', 'Tomato sauce, cream']"
Palak Paneer,"['Spinach', 'Ghee', 'Paneer, spices']"
Tandoori Chicken,"['Chicken', 'Yogurt', 'Tandoori spices']"
Rogan Josh,"['Lamb', 'Ghee', 'Yogurt, Kashmiri red chili']"
Paneer Tikka,"['Paneer', 'Oil', 'Tikka masala, spices']"
Dal Makhani,"['Lentils', 'Ghee', 'Cream, spices']"
Malai Kofta,"['Cottage cheese', 'Ghee', 'Creamy tomato sauce']"
Chicken Tikka Masala,"['Chicken', 'Ghee', 'Tomato sauce, cream']"
Gulab Jamun,"['Milk solids', 'Ghee', 'Cardamom syrup']"
Chicken Korma,"['Chicken', 'Ghee', 'Creamy sauce, spices']"
Malai Chicken Tikka,"['Chicken', 'Cream', 'Spices']"
Dahi Vada,"['Lentil dumplings', 'Yogurt', 'Tamarind chutney, spices']"
Chicken Malai Tikka,"['Chicken', 'Cream', 'Spices']"
Matar Paneer,"['Paneer', 'Ghee', 'Peas, spices']"
Rasgulla,"['Paneer', 'Rose water, syrup']"
Rabri,"['Milk', 'Ghee', 'Cardamom, nuts']"
Chicken Korma,"['Chicken', 'Ghee', 'Creamy sauce, spices']"
Gulab Jamun,"['Milk solids', 'Ghee', 'Cardamom syrup']"
Rogan Josh,"['Lamb', 'Ghee', 'Yogurt, Kashmiri red chili']"
Kheer,"['Rice', 'Ghee', 'Cardamom, nuts']"
Rasmalai,"['Paneer', 'Milk, Ghee', 'Cardamom, nuts']"
Chicken Caesar Salad,"['Chicken breast', 'Olive oil', 'Parmesan cheese']"
Chocolate Mousse,"['Chocolate', 'Heavy cream', 'Vanilla extract']"
Quiche Lorraine,"['Bacon', 'Heavy cream', 'Cheese, eggs']"
Chicken Piccata,"['Chicken', 'Butter', 'Lemon, capers']"
Chicken Tikka Masala,"['Chicken', 'Ghee', 'Tikka masala sauce']"
Sweet Potato Casserole,"['Sweet potatoes', 'Butter', 'Cinnamon, nutmeg']"
Baked Brie,"['Brie cheese', 'Herbs, nuts']"
French Onion Soup,"['Onions', 'Butter', 'Beef broth, cheese, bread']"
Greek Gyro,"['Lamb/Chicken', 'Tzatziki sauce, vegetables']"
French Onion Soup,"['Onions', 'Butter', 'Beef broth, cheese, bread']"
Omelette,"['Eggs', 'Butter', 'Salt, pepper']"
Egg Salad,"['Eggs', 'Celery, onion']"
Egg Salad,"['Eggs', 'Celery, onion']"
Quiche,"['Eggs', 'Cheese', 'Vegetables']"
Egg Salad Sandwich,"['Eggs', 'Celery, mustard']"
Egg Fried Rice,"['Eggs', 'Sesame oil', 'Soy sauce']"
Fish Sticks,"['Fish fillets', 'Vegetable oil', 'Salt']"
Fish Sticks,"['Fish fillets', 'Vegetable oil', 'Salt']"
Baked Salmon,"['Salmon fillet', 'Olive oil', 'Lemon, herbs']"
Teriyaki Salmon,"['Salmon', 'Vegetable oil', 'Teriyaki sauce']"
Baked Salmon,"['Salmon', 'Olive oil', 'Lemon, herbs']"
Lemon Dill Salmon,"['Salmon', 'Olive oil', 'Lemon, dill']"
Baked Salmon,"['Salmon', 'Olive oil', 'Lemon, herbs']"
Malabar Fish Curry,"['Fish', 'Coconut oil', 'Tamarind, spices']"
Baked Cod,"['Cod', 'Butter', 'Lemon, herbs']"
Baked Cod,"['Cod', 'Butter', 'Lemon, herbs']"
Tuna Sandwich,"['Tuna', 'Salt, Pepper']"
Tuna Salad,"['Tuna', 'Celery, onion']"
Sushi,"['Fish (salmon, tuna)', 'Sesame oil', 'Soy sauce']"
Teriyaki Salmon,"['Salmon fillet', 'Soy sauce', 'Ginger, garlic']"
Sushi Bowl,"['Sushi rice', 'Soy sauce', 'Raw fish, vegetables']"
Honey Soy Glazed Salmon,"['Salmon', 'Soy sauce', 'Garlic, ginger']"
Sushi Bowl,"['Sushi rice', 'Soy sauce', 'Raw fish, vegetables']"
Honey Soy Glazed Salmon,"['Salmon', 'Soy sauce', 'Garlic, ginger']"
Milk Chocolate,"['Sugar', 'Milk powder', 'Vanilla extract']"
Milk Chocolate,"['Sugar', 'Milk powder', 'Vanilla extract']"
Vanilla Ice Cream,"['Milk', 'Cream', 'Vanilla extract']"
Vanilla Yogurt,"['Yogurt (milk, cultures)', 'Vanilla extract']"
Strawberry Yogurt,"['Yogurt (milk, cultures)', 'Pectin']"
Strawberry Yogurt,"['Yogurt (milk, cultures)', 'Pectin']"
Tomato Soup,"['Tomatoes', 'Salt, Sugar']"
Apple,"['Apples', nan]"
Tomato Soup,"['Tomatoes', 'Salt, Sugar']"
Apple,"['Apples', nan]"
Orange Juice,"['Oranges', nan]"
Greek Salad,"['Cucumber', 'Olive oil', 'Lemon juice']"
Spaghetti Bolognese,"['Ground beef', 'Olive oil', 'Tomato sauce']"
Honey Mustard Chicken,"['Chicken breast', 'Mustard', 'Vegetable oil']"
BBQ Ribs,"['Pork ribs', 'Vegetable oil', 'BBQ sauce']"
Quinoa Salad,"['Quinoa', 'Olive oil', 'Lemon juice, herbs']"
Vegetable Stir-Fry,"['Mixed vegetables', 'Vegetable oil', 'Soy sauce']"
Beef Burger,"['Ground beef', 'Vegetable oil', 'Salt, Pepper']"
French Fries,"['Potatoes', 'Vegetable oil', 'Salt']"
Lemonade,"['Lemon juice', 'Water', nan]"
Gazpacho,"['Tomatoes', 'Olive oil', 'Garlic, herbs']"
Beef Tacos,"['Ground beef', 'Vegetable oil', 'Taco seasoning']"
Lentil Soup,"['Lentils', 'Olive oil', 'Vegetables']"
Chicken Curry,"['Chicken', 'Vegetable oil', 'Curry powder']"
Ratatouille,"['Eggplant', 'Olive oil', 'Tomatoes']"
Pesto Pasta,"['Pasta', 'Olive oil', 'Basil, garlic']"
Chicken Stir-Fry,"['Chicken', 'Vegetable oil', 'Soy sauce']"
Veggie Burger,"['Mixed vegetables', 'Vegetable oil', 'Seasonings']"
Vegetable Soup,"['Mixed vegetables', 'Olive oil', 'Seasonings']"
Spinach Salad,"['Spinach', 'Olive oil', 'Balsamic vinegar']"
Chicken Enchiladas,"['Chicken', 'Vegetable oil', 'Enchilada sauce']"
Minestrone Soup,"['Vegetables', 'Olive oil', 'Tomato broth']"
Salsa,"['Tomatoes', 'Onion, cilantro']"
Lemon Garlic Chicken,"['Chicken', 'Olive oil', 'Lemon juice, garlic']"
Pancetta Pasta,"['Pasta', 'Pancetta', 'Garlic, herbs']"
Chicken Teriyaki,"['Chicken', 'Vegetable oil', 'Teriyaki sauce']"
Spinach Stuffed Chicken,"['Chicken', 'Olive oil', 'Spinach, garlic']"
Coconut Curry,"['Chicken', 'Coconut milk', 'Curry paste']"
Apple Cider,"['Apples', 'Cinnamon']"
Ratatouille,"['Eggplant', 'Olive oil', 'Tomatoes, zucchini']"
Avocado Toast,"['Avocado', 'Olive oil', 'Salt, pepper']"
Beef Stir-Fry,"['Beef', 'Vegetable oil', 'Soy sauce']"
Black Bean Soup,"['Black beans', 'Olive oil', 'Vegetables']"
Beef Tacos,"['Ground beef', 'Vegetable oil', 'Taco seasoning']"
Cucumber Salad,"['Cucumber', 'Olive oil', 'Lemon juice, dill']"
Fruit Salad,"['Mixed fruits', 'Lemon juice']"
Sausage Pizza,"['Sausage', 'Mozzarella cheese']"
Chicken Fajitas,"['Chicken', 'Vegetable oil', 'Fajita seasoning']"
Mango Salsa,"['Mango', 'Red onion, lime']"
Lentil Curry,"['Lentils', 'Coconut milk', 'Curry powder']"
Green Smoothie,"['Spinach', 'Avocado', 'Almond milk']"
Stuffed Bell Peppers,"['Bell peppers', 'Olive oil', 'Ground meat, rice']"
Beef and Broccoli,"['Beef', 'Vegetable oil', 'Soy sauce']"
Cabbage Rolls,"['Cabbage', 'Olive oil', 'Ground meat, rice']"
Caramel Apple,"['Apples', nan]"
Sweet Potato Fries,"['Sweet potatoes', 'Vegetable oil', 'Salt, paprika']"
Beef Chili,"['Ground beef', 'Chili powder']"
Pesto Chicken,"['Chicken', 'Pesto sauce', nan]"
Beef Burritos,"['Ground beef', 'Vegetable oil', 'Taco seasoning']"
Chicken Shawarma,"['Chicken', 'Olive oil', 'Shawarma spices']"
Stuffed Mushrooms,"['Mushrooms', 'Garlic, herbs']"
Zucchini Noodles,"['Zucchini', 'Olive oil', 'Garlic, herbs']"
Sweet and Sour Chicken,"['Chicken', 'Vegetable oil', 'Pineapple, bell peppers']"
Beef Kabobs,"['Beef', 'Olive oil', 'Seasonings']"
Tomato Bruschetta,"['Tomatoes', 'Olive oil', 'Garlic, basil']"
Quinoa Stuffed Peppers,"['Quinoa', 'Olive oil', 'Vegetables, spices']"
Veggie Omelette,"['Mixed vegetables', 'Olive oil', 'Salt, pepper']"
Ratatouille,"['Vegetables', 'Olive oil', 'Herbs, garlic']"
Beef Tacos,"['Beef', 'Vegetable oil', 'Taco seasoning']"
Quinoa Salad,"['Quinoa', 'Olive oil', 'Lemon juice, vegetables']"
Vegetable Stir-Fry,"['Mixed vegetables', 'Vegetable oil', 'Soy sauce']"
Buffalo Wings,"['Chicken wings', 'Vegetable oil', 'Buffalo sauce']"
Lentil Soup,"['Lentils', 'Olive oil', 'Vegetables']"
Stuffed Cabbage Rolls,"['Cabbage', 'Olive oil', 'Ground meat, rice']"
Orange Chicken,"['Chicken', 'Vegetable oil', 'Orange sauce']"
Honey Mustard Chicken,"['Chicken', 'Olive oil', 'Mustard, herbs']"
Lentil Salad,"['Lentils', 'Olive oil', 'Lemon juice, vegetables']"
Cilantro Lime Chicken,"['Chicken', 'Olive oil', 'Cilantro, lime']"
Ratatouille Pizza,"['Pizza dough', 'Olive oil', 'Ratatouille vegetables']"
Chicken Curry,"['Chicken', 'Coconut milk', 'Curry powder']"
Pesto Pasta Salad,"['Pasta', 'Pesto sauce', 'Tomatoes, vegetables']"
Beef and Mushroom Stir-Fry,"['Beef', 'Vegetable oil', 'Soy sauce']"
Tofu Curry,"['Tofu', 'Coconut milk', 'Curry paste']"
Stuffed Bell Peppers,"['Bell peppers', 'Olive oil', 'Ground meat, rice']"
Stuffed Bell Peppers,"['Bell peppers', 'Olive oil', 'Ground meat, rice']"
Greek Moussaka,"['Eggplant', 'Olive oil', 'Ground meat, potatoes']"
Brussels Sprouts,"['Brussels sprouts', 'Olive oil', 'Balsamic glaze']"
Baked Chicken Wings,"['Chicken wings', 'Olive oil', 'Seasonings']"
Mango Coconut Popsicles,"['Mango', 'Coconut milk', nan]"
Ratatouille Pasta,"['Pasta', 'Olive oil', 'Ratatouille vegetables']"
Chicken Noodle Soup,"['Chicken', 'Vegetable oil', 'Noodles, vegetables']"
Mango Salsa,"['Mango', 'Lime juice, cilantro']"
Spinach Salad,"['Spinach', 'Olive oil', 'Balsamic vinaigrette']"
Caramelized Onions,"['Onions', 'Butter', nan]"
Beef Stir-Fry,"['Beef', 'Vegetable oil', 'Soy sauce']"
Strawberry Spinach Salad,"['Spinach', 'Strawberries, vinaigrette']"
Ratatouille Tart,"['Vegetables', 'Olive oil', 'Puff pastry, herbs']"
Honey Glazed Carrots,"['Carrots', 'Butter', nan]"
Cucumber Salad,"['Cucumbers', 'Olive oil', 'Vinegar, herbs']"
Greek Lemon Potatoes,"['Potatoes', 'Olive oil', 'Lemon juice, herbs']"
Stuffed Tomatoes,"['Tomatoes', 'Herbs, breadcrumbs']"
Avocado Toast,"['Avocado', 'Olive oil', 'Salt, pepper']"
Lemon Pepper Chicken,"['Chicken', 'Olive oil', 'Lemon pepper seasoning']"
Chicken Shawarma,"['Chicken', 'Olive oil', 'Shawarma seasoning']"
Lemon Herb Roasted Chicken,"['Chicken', 'Olive oil', 'Lemon, herbs']"
Greek Lemon Chicken,"['Chicken', 'Olive oil', 'Lemon juice, herbs']"
Roasted Brussels Sprouts,"['Brussels sprouts', 'Olive oil', 'Balsamic glaze']"
Beef Burritos,"['Beef', 'Vegetable oil', 'Burrito seasoning']"
Raspberry Spinach Salad,"['Spinach', 'Raspberries, vinaigrette']"
Chicken and Rice Soup,"['Chicken', 'Vegetable oil', 'Rice, vegetables']"
Chicken Fajitas,"['Chicken', 'Vegetable oil', 'Fajita seasoning']"
Vegetable Curry,"['Mixed vegetables', 'Coconut milk', 'Curry paste']"
Ratatouille,"['Vegetables', 'Olive oil', 'Herbs']"
Pesto Pasta Salad,"['Pasta', 'Pesto sauce', 'Tomatoes, vegetables']"
Beef and Mushroom Stir-Fry,"['Beef', 'Vegetable oil', 'Soy sauce']"
Tofu Curry,"['Tofu', 'Coconut milk', 'Curry paste']"
Stuffed Bell Peppers,"['Bell peppers', 'Olive oil', 'Ground meat, rice']"
Greek Moussaka,"['Eggplant', 'Olive oil', 'Ground meat, potatoes']"
Brussels Sprouts,"['Brussels sprouts', 'Olive oil', 'Balsamic glaze']"
Baked Chicken Wings,"['Chicken wings', 'Olive oil', 'Seasonings']"
Mango Coconut Popsicles,"['Mango', 'Coconut milk', nan]"
Ratatouille Pasta,"['Pasta', 'Olive oil', 'Ratatouille vegetables']"
Chicken Noodle Soup,"['Chicken', 'Vegetable oil', 'Noodles, vegetables']"
Mango Salsa,"['Mango', 'Lime juice, cilantro']"
Spinach Salad,"['Spinach', 'Olive oil', 'Balsamic vinaigrette']"
Caramelized Onions,"['Onions', 'Butter', nan]"
Beef Stir-Fry,"['Beef', 'Vegetable oil', 'Soy sauce']"
Strawberry Spinach Salad,"['Spinach', 'Strawberries, vinaigrette']"
Ratatouille Tart,"['Vegetables', 'Olive oil', 'Puff pastry, herbs']"
Honey Glazed Carrots,"['Carrots', 'Butter', nan]"
Cucumber Salad,"['Cucumbers', 'Olive oil', 'Vinegar, herbs']"
Greek Lemon Potatoes,"['Potatoes', 'Olive oil', 'Lemon juice, herbs']"
Stuffed Tomatoes,"['Tomatoes', 'Herbs, breadcrumbs']"
Biryani,"['Rice', 'Ghee', 'Biryani masala, spices']"
Chole Bhature,"['Chickpeas', 'Ghee', 'Chole masala, spices']"
Masala Dosa,"['Rice', 'Oil', 'Potato masala, spices']"
Samosa,"['Potatoes', 'Ghee', 'Spices']"
Aloo Gobi,"['Potatoes', 'Oil', 'Cauliflower, spices']"
Chicken Biryani,"['Chicken', 'Ghee', 'Basmati rice, spices']"
Vada Pav,"['Potato', 'Oil', 'Pav bun, chutney']"
Pani Puri,"['Semolina', 'Spiced water, chutney']"
Rajma Chawal,"['Kidney beans', 'Ghee', 'Spices']"
Chicken Curry,"['Chicken', 'Oil', 'Curry spices']"
Vegetable Biryani,"['Mixed vegetables', 'Ghee', 'Basmati rice, spices']"
Chana Masala,"['Chickpeas', 'Oil', 'Masala spices']"
Paniyaram,"['Fermented batter', 'Oil', 'Mustard seeds, curry leaves']"
Chicken Biryani,"['Chicken', 'Ghee', 'Basmati rice, spices']"
Pav Bhaji,"['Mixed vegetables', 'Butter', 'Pav bread, spices']"
Hyderabadi Biryani,"['Basmati rice', 'Ghee', 'Meat/vegetables, spices']"
Chicken Curry,"['Chicken', 'Oil', 'Curry spices']"
Dosa,"['Rice', 'Oil', 'Potato masala, chutney']"
Chole Kulche,"['Chickpeas', 'Ghee', 'Kulcha bread, spices']"
Gobi Manchurian,"['Cauliflower', 'Oil', 'Manchurian sauce']"
Mutton Biryani,"['Mutton', 'Ghee', 'Basmati rice, spices']"
Oatmeal,"['Oats', 'Milk', 'Cinnamon']"
Chicken Satay,"['Chicken', 'Peanut butter', 'Soy sauce']"
Peanut Butter,"['Peanuts', 'Vegetable oil', 'Salt']"
Peanut Butter,"['Peanuts', 'Vegetable oil', 'Salt']"
Chicken Satay,"['Chicken', 'Peanut oil', 'Satay sauce, spices']"
Chicken Satay,"['Chicken', 'Peanut oil', 'Satay sauce, spices']"
Pesto Chicken,"['Chicken', 'Olive oil', 'Pesto sauce']"
Zucchini Noodles with Pesto,"['Zucchini', 'Olive oil', 'Pesto sauce']"
Pesto Chicken,"['Chicken', 'Olive oil', 'Pesto sauce']"
Rice Pudding,"['Rice', 'Milk', 'Cinnamon, raisins']"
Shrimp Scampi,"['Shrimp', 'Butter', 'Garlic, lemon']"
Shrimp Scampi Pasta,"['Shrimp', 'Butter', 'Garlic, lemon']"
Garlic Shrimp,"['Shrimp', 'Olive oil', 'Garlic']"
Lemon Garlic Shrimp,"['Shrimp', 'Olive oil', 'Lemon juice, garlic']"
Lemon Garlic Shrimp,"['Shrimp', 'Olive oil', 'Lemon juice, garlic']"
Prawn Biryani,"['Prawns', 'Ghee', 'Basmati rice, spices']"
Lobster Bisque,"['Lobster', 'Butter', 'Cream, brandy']"
Caesar Shrimp Skewers,"['Shrimp', 'Olive oil', 'Caesar dressing']"
Shrimp Scampi,"['Shrimp', 'Butter', 'Garlic, lemon']"
Lobster Bisque,"['Lobster', 'Butter', 'Cream, brandy']"
Caesar Shrimp Skewers,"['Shrimp', 'Olive oil', 'Caesar dressing']"
Prawn Curry,"['Prawns', 'Coconut milk', 'Curry spices']"
Lobster Roll,"['Lobster', 'Mayonnaise', 'Celery, lemon juice']"
Lobster Roll,"['Lobster', 'Mayonnaise', 'Celery, lemon juice']"
Bacon-Wrapped Shrimp,"['Shrimp', 'Bacon', 'Seasonings']"
Shrimp Fried Rice,"['Shrimp', 'Vegetable oil', 'Soy sauce']"
Soy Milk,"['Soybeans', 'Emulsifiers']"
Soy Milk,"['Soybeans', 'Emulsifiers']"
Tofu Stir-Fry,"['Tofu', 'Vegetable oil', 'Soy sauce']"
Miso Soup,"['Miso paste', 'Tofu, seaweed']"
Tofu Scramble,"['Tofu', 'Vegetable oil', 'Turmeric, spices']"
Chicken Teriyaki,"['Chicken', 'Soy sauce', 'Honey, ginger']"
Tofu Stir-Fry,"['Tofu', 'Vegetable oil', 'Soy sauce']"
Teriyaki Beef,"['Beef', 'Soy sauce', 'Teriyaki sauce, vegetables']"
Sushi Rolls,"['Sushi rice', 'Soy sauce', 'Nori (seaweed), fish']"
Wheat Bread,"['Wheat flour', 'Salt']"
Wheat Bread,"['Wheat flour', 'Salt']"
Zucchini Bread,"['Zucchini', 'Vegetable oil', 'Flour']"
Chicken Noodle Casserole,"['Chicken', 'Butter', 'Noodles, vegetables']"
Onion Rings,"['Onions', 'Vegetable oil', 'Flour']"
Chicken Pot Pie,"['Chicken', 'Butter', 'Vegetables, pastry']"
Grilled Portobello Mushroom Burger,"['Portobello mushrooms', 'Burger bun, vegetables']"
Aloo Paratha,"['Potatoes', 'Ghee', 'Wheat flour, spices']"
Oatmeal Raisin Cookies,"['Oats', 'Butter', 'Flour']"
Oatmeal Raisin Cookies,"['Oats', 'Butter', 'Flour']"
Pancakes,"['Flour', 'Butter', 'Baking powder']"
Carrot Cake,"['Carrots', 'Vegetable oil', 'Cinnamon']"
Blueberry Muffins,"['Blueberries', 'Butter', 'Flour']"
Chocolate Chip Cookies,"['Flour', 'Butter', 'Chocolate chips']"
Mushroom Risotto,"['Arborio rice', 'Butter', 'Mushroom']"
Cinnamon Rolls,"['Flour', 'Butter', 'Cinnamon']"
Pineapple Upside-Down Cake,"['Pineapple', 'Butter', 'Flour']"
Apple Pie,"['Apples', 'Butter', 'Cinnamon']"
Banana Bread,"['Bananas', 'Butter', 'Flour']"
Vanilla Cupcakes,"['Flour', 'Butter', 'Vanilla extract']"
Apple Crisp,"['Apples', 'Butter', 'Cinnamon']"
Pasta Carbonara,"['Pasta', 'Bacon', 'Egg, Parmesan cheese']"
Blueberry Pancakes,"['Flour', 'Butter', 'Blueberries']"
Lemon Bars,"['Flour', 'Butter', 'Lemon juice']"
Pumpkin Pie,"['Pumpkin', 'Butter', 'Cinnamon, nutmeg']"
Mixed Berry Pie,"['Mixed berries', 'Butter', 'Flour']"
Garlic Bread,"['Bread', 'Butter', 'Garlic']"
Berry Cobbler,"['Mixed berries', 'Butter', 'Flour']"
Baked Ziti,"['Pasta', 'Cheese', 'Tomato sauce']"
Baked Ziti,"['Pasta', 'Cheese', 'Tomato sauce']"
Key Lime Pie,"['Lime juice', 'Butter', 'Graham cracker crust']"
Lemon Poppy Seed Muffins,"['Flour', 'Butter', 'Lemon zest, poppy seeds']"
Chicken Quesadilla,"['Chicken', 'Butter', 'Cheese']"
Pancake Stack,"['Flour', 'Butter', 'Maple syrup']"
Strawberry Shortcake,"['Strawberries', 'Whipped cream', 'Shortcake']"
Berry Crumble,"['Mixed berries', 'Butter', 'Oats, cinnamon']"
Raspberry Cheesecake,"['Cream cheese', 'Butter', 'Graham cracker crust, raspberries']"
Blueberry Pancakes,"['Flour', 'Butter', 'Blueberries']"
Oatmeal Raisin Cookies,"['Oats', 'Butter', 'Raisins, cinnamon']"
Apple Crisp,"['Apples', 'Butter', 'Cinnamon, oats']"
Chicken Enchiladas,"['Chicken', 'Enchilada sauce', 'Cheese, tortillas']"
Caesar Salad Wrap,"['Romaine lettuce', 'Caesar dressing', 'Parmesan cheese, croutons']"
Caesar Salad Wrap,"['Romaine lettuce', 'Caesar dressing', 'Parmesan cheese, croutons']"
S'mores,"['Graham crackers', 'Chocolate', nan]"
Tiramisu,"['Ladyfingers', 'Mascarpone cheese', 'Coffee, cocoa']"
Cinnamon Rolls,"['Dough', 'Butter', 'Cinnamon, icing']"
Chicken Caesar Salad,"['Chicken', 'Caesar dressing', 'Romaine lettuce, croutons']"
Vegetable Lasagna,"['Vegetables', 'Olive oil', 'Tomato sauce, cheese']"
Garlic Bread,"['Bread', 'Butter', 'Garlic']"
Chicken Alfredo Pizza,"['Pizza dough', 'Chicken, Alfredo sauce']"
Caesar Pasta Salad,"['Pasta', 'Caesar dressing', 'Romaine lettuce, Parmesan cheese']"
Baked Apple,"['Apples', 'Butter', 'Cinnamon, oats']"
Apple Pie,"['Apples', 'Butter', 'Cinnamon, pastry']"
Chicken Parmesan,"['Chicken', 'Olive oil', 'Tomato sauce, cheese']"
Pumpkin Pie,"['Pumpkin', 'Butter', 'Pumpkin spice, pastry']"
Blueberry Muffins,"['Flour', 'Butter', 'Blueberries']"
Sausage and Pepper Pizza,"['Pizza dough', 'Sausage, bell peppers']"
Beef Wellington,"['Beef', 'Butter', 'Mushrooms, puff pastry']"
Baked Ziti,"['Pasta', 'Tomato sauce, cheese']"
Lemon Poppy Seed Muffins,"['Flour', 'Butter', 'Lemon zest, poppy seeds']"
Apple Crisp,"['Apples', 'Butter', 'Cinnamon, oats']"
Chicken Enchiladas,"['Chicken', 'Enchilada sauce', 'Cheese, tortillas']"
Caesar Salad Wrap,"['Romaine lettuce', 'Caesar dressing', 'Parmesan cheese, croutons']"
S'mores,"['Graham crackers', 'Chocolate', nan]"
Tiramisu,"['Ladyfingers', 'Mascarpone cheese', 'Coffee, cocoa']"
